Gene ID	FPKM_NP1071_GTGGCC_R1
ENSMUSG00000003808	17.1439
ENSMUSG00000003809	14.6342
ENSMUSG00000003810	28.7181
ENSMUSG00000003812	1.45551
ENSMUSG00000003813	60.3735
ENSMUSG00000003814	191.428
ENSMUSG00000003824	0.818198
ENSMUSG00000003847	5.85836
ENSMUSG00000003848	17.4113
ENSMUSG00000003849	1.71123
ENSMUSG00000003863	58.9691
ENSMUSG00000003865	6.12072
ENSMUSG00000003868	15.0622
ENSMUSG00000003872	72.7085
ENSMUSG00000003873	26.5295
ENSMUSG00000003882	0.082841
ENSMUSG00000003923	14.2957
ENSMUSG00000003929	2.31169
ENSMUSG00000003934	19.4536
ENSMUSG00000003948	70.2178
ENSMUSG00000003949	58.3354
ENSMUSG00000003955	23.5412
ENSMUSG00000003970	280.552
ENSMUSG00000003974	15.952
ENSMUSG00000003992	37.7236
ENSMUSG00000004018	4.42711
ENSMUSG00000004031	26.1118
ENSMUSG00000004032	111.232
ENSMUSG00000004035	10.6884
ENSMUSG00000004038	1.27129
ENSMUSG00000004040	15.445
ENSMUSG00000004043	0.693204
ENSMUSG00000004044	10.3816
ENSMUSG00000004054	7.79573
ENSMUSG00000004056	48.7215
ENSMUSG00000004069	21.8301
ENSMUSG00000004070	44.2059
ENSMUSG00000004071	83.0326
ENSMUSG00000004085	1.16125
ENSMUSG00000004096	36.4186
ENSMUSG00000004098	0.293159
ENSMUSG00000004099	12.8965
ENSMUSG00000004100	11.3048
ENSMUSG00000004105	0.738635
ENSMUSG00000004110	9.4972
ENSMUSG00000004113	22.2121
ENSMUSG00000004127	2.09046
ENSMUSG00000004151	18.4612
ENSMUSG00000004187	194.454
ENSMUSG00000004207	699.624
ENSMUSG00000004221	12.2844
ENSMUSG00000004231	0.0724524
ENSMUSG00000004233	1.093
ENSMUSG00000004263	57.9313
